"Action","Custom label (SKU)","Category ID","Title","UPC","Price","Quantity","Condition ID","Condition Description","Description","Format","Duration","Item photo URL","C:Card Manufacturer","C:Professionally Graded","C:Professional Grader","C:Grade","C:Certification Number","C:Card Condition","C:Sport","C:Player/Athlete","C:Team","C:Card Name","C:Type","C:Parallel/Variety","C:Features","C:League","C:Autographed","C:Card Number","C:Season","C:Single","C:Original/Reprint","C:Year"
Add,CARD-0-141,183435,Dominik Mysterio Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Dominik Mysterio from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Dominik Mysterio | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Dominik Mysterio,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-151,183435,Dominik Mysterio Topps WWE Raw Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Dominik Mysterio from the Topps WWE Raw set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Dominik Mysterio | Set: Topps WWE Raw | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Dominik Mysterio,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-161,183435,Batista Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Batista from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Batista | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Batista,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-171,183435,Batista Topps WWE Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Batista from the Topps WWE set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Batista | Set: Topps WWE | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Batista,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-181,183435,Stacy Keibler Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Stacy Keibler from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Stacy Keibler | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Stacy Keibler,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-191,183435,Stacy Keibler Topps WWE Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Stacy Keibler from the Topps WWE Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Stacy Keibler | Set: Topps WWE Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Stacy Keibler,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-201,183435,Lola Vice Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lola Vice from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lola Vice | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lola Vice,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-211,183435,Lola Vice Topps WWE NXT Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lola Vice from the Topps WWE NXT set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lola Vice | Set: Topps WWE NXT | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lola Vice,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-221,183435,Lola Vice Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lola Vice from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lola Vice | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lola Vice,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-231,183435,Lola Vice Topps WWE NXT Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lola Vice from the Topps WWE NXT set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lola Vice | Set: Topps WWE NXT | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lola Vice,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
